"Unit Type:","PicoCount 2500 V2.41"
"Serial Number:","24071597"
"ID:",""
"Location:","4713 Welcome Ave N"
"Comments:","near 47th Ave N"
"Dwell:","90 ms"
"Measurements:","English"
"Start Date:","07/08/2025"
"Start Time:","00:00"
"Export Version:","All V2.03"
"Scheme:","FHWA"
"Scheme ID:","1"
"Interval:","60 Min"
"Title:","All-In-One (Northbound / Southbound)"
"Date/Time","Volume - Northbound","Volume - Southbound","Class #1 - Northbound","Class #2 - Northbound","Class #3 - Northbound","Class #4 - Northbound","Class #5 - Northbound","Class #6 - Northbound","Class #7 - Northbound","Class #8 - Northbound","Class #9 - Northbound","Class #10 - Northbound","Class #11 - Northbound","Class #12 - Northbound","Class #13 - Northbound","Class #1 - Southbound","Class #2 - Southbound","Class #3 - Southbound","Class #4 - Southbound","Class #5 - Southbound","Class #6 - Southbound","Class #7 - Southbound","Class #8 - Southbound","Class #9 - Southbound","Class #10 - Southbound","Class #11 - Southbound","Class #12 - Southbound","Class #13 - Southbound","5-14 MPH  - Northbound","15-19 MPH  - Northbound","20-24 MPH  - Northbound","25-29 MPH  - Northbound","30-34 MPH  - Northbound","35-39 MPH  - Northbound","40-44 MPH  - Northbound","45-49 MPH  - Northbound","50-54 MPH  - Northbound","55-59 MPH  - Northbound","60-64 MPH  - Northbound","65-69 MPH  - Northbound","70-74 MPH  - Northbound","75-79 MPH  - Northbound","80-99 MPH  - Northbound","5-14 MPH  - Southbound","15-19 MPH  - Southbound","20-24 MPH  - Southbound","25-29 MPH  - Southbound","30-34 MPH  - Southbound","35-39 MPH  - Southbound","40-44 MPH  - Southbound","45-49 MPH  - Southbound","50-54 MPH  - Southbound","55-59 MPH  - Southbound","60-64 MPH  - Southbound","65-69 MPH  - Southbound","70-74 MPH  - Southbound","75-79 MPH  - Southbound","80-99 MPH  - Southbound"
07/08/2025 13:00,9,10,1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,1,0,0,0,0,0,0,0,0,1,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 14:00,31,22,0,23,5,0,3,0,0,0,0,0,0,0,0,0,19,2,0,1,0,0,0,0,0,0,0,0,0,9,18,4,0,0,0,0,0,0,0,0,0,0,0,1,6,9,6,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 15:00,34,21,1,26,6,0,1,0,0,0,0,0,0,0,0,0,14,3,0,3,0,1,0,0,0,0,0,0,1,1,24,7,1,0,0,0,0,0,0,0,0,0,0,1,6,9,4,1,0,0,0,0,0,0,0,0,0,0
07/08/2025 16:00,31,23,1,26,3,0,1,0,0,0,0,0,0,0,0,1,20,1,0,1,0,0,0,0,0,0,0,0,0,4,20,7,0,0,0,0,0,0,0,0,0,0,0,0,4,17,2,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 17:00,38,39,0,33,4,0,1,0,0,0,0,0,0,0,0,0,32,7,0,0,0,0,0,0,0,0,0,0,0,0,28,10,0,0,0,0,0,0,0,0,0,0,0,0,11,24,4,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 18:00,22,34,0,19,3,0,0,0,0,0,0,0,0,0,0,0,31,2,0,1,0,0,0,0,0,0,0,0,1,4,12,5,0,0,0,0,0,0,0,0,0,0,0,0,9,24,1,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 19:00,19,16,0,15,2,0,2,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,0,6,10,3,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 20:00,45,20,0,37,6,0,1,1,0,0,0,0,0,0,0,0,17,2,0,1,0,0,0,0,0,0,0,0,1,19,21,4,0,0,0,0,0,0,0,0,0,0,0,1,7,8,3,1,0,0,0,0,0,0,0,0,0,0
07/08/2025 21:00,24,10,0,21,3,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,0,0,0,0,0,0,0,0,0,8,15,1,0,0,0,0,0,0,0,0,0,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,0,0
07/08/2025 22:00,9,7,0,9,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0
